Year;Region;Exploitations repr√©sent√©es (SYS02);Exploitations dans l'√©chantillon (SYS03);Total produit brut v√©g√©tal (SE135);Total crops output / ha (SE136);azote_moy;azote_ec;phk_moy;phk_ec;mgo_moy;mgo_ec;cereals(SE140);pommes de terre (SE150);legumes et fleurs (SE170);fruits (SE175)
2014;Alsace;6110;100 - <200;127055;2409.69;1.58;0.76;6.81;0.95;311.65;213.1;49441;1638;4885;2306
2014;Aquitaine;23490;500 - <1000;139478;2687.08;1.28;0.61;5.78;1.02;180.39;160.36;28078;32;23473;5875
2014;Auvergne;13440;200 - <500;21277;218.35;1.89;0.88;5.87;1.03;365.99;405.22;16629;54;43;85
2014;Basse-Normandie;11660;200 - <500;51146;525.54;2.08;1.01;6.06;0.97;151.79;88.49;29876;473;2656;2435
2014;Bourgogne;13800;200 - <500;134974;1106.18;1.78;0.95;6.5;1.08;158.38;101.13;37568;158;5441;585
2014;Bretagne;23680;200 - <500;62952;962.35;2.29;0.77;5.76;0.77;163.25;87.25;23211;1086;33396;631
2014;Centre;17150;200 - <500;156488;1253.13;1.3;0.53;6.35;3.17;150.3;93.66;86071;2394;13342;2451
2014;Champagne-Ardenne;16700;200 - <500;224307;2358.8;1.89;0.73;7.43;0.77;182.00;153.56;55342;2248;343;0
2014;Corse;1420;100 - <200;113921;1430.6;0.95;0.42;6.07;0.78;342.66;267.76;985;160;3257;4728
2014;Franche-Comté;5160;200 - <500;53425;429.88;2.1;1.13;6.18;0.87;221.77;216.93;27410;296;2658;40
2014;Haute-Normandie;6280;100 - <200;149179;1214.94;1.39;0.61;6.55;0.83;115.69;61.82;72505;19741;2652;2222
2014;Ile-de-France;3900;100 - <200;227839;1643.65;1.23;0.42;6.85;0.74;169.19;108.58;113865;30529;18700;363
2014;Languedoc-Roussillon;16300;200 - <500;116893;2594.17;0.93;0.55;6.99;1.16;247.31;194.78;5807;342;12225;13241
2014;Limousin;6670;200 - <500;14490;138.07;1.86;0.86;5.2;0.78;191.28;200.66;8570;138;179;4053
2014;Lorraine;6810;200 - <500;89398;554.73;2.28;1.03;6.91;0.89;324.54;411.65;59352;131;184;722
2014;Midi-Pyrenees;25550;200 - <500;67983;837.84;1.23;0.54;6.1;1.12;226.71;193.72;31564;5;6837;6192
2014;Nord-Pas-de-Calais;9280;200 - <500;139164;1733.77;1.37;0.55;7.09;0.66;167.22;94.73;51554;19618;42014;0
2014;Pays de la Loire;23590;200 - <500;85581;960.68;1.51;0.57;5.89;0.88;174.59;155.08;34920;690;19625;6021
2014;Picardie;9230;200 - <500;194877;1470.27;1.31;0.46;7.28;0.6;161.11;131.33;99217;17090;7973;30
2014;Poitou-Charentes;17200;200 - <500;130635;1355.04;1.84;0.85;6.87;1.06;228.3;171.84;49024;68;3270;643
2014;Provence-Alpes-Côte d'Azur;11560;200 - <500;168103;3892.43;1.15;0.93;7.51;0.72;267.37;207.85;7117;521;40931;29956
2014;Rhône-Alpes;20290;200 - <500;82889;1298.63;1.6;1.04;6.13;1.04;176.81;158.93;17612;576;16294;13661