Region;k2o_moy;k2o_ec;phk_moy;phk_ec;mgo_moy;mgo_ec;cereals;pommes de terre;betteraves
Alsace;306.75;150.05;6.81;0.95;311.65;213.1;49441;1638;617
Aquitaine;213.28;131.74;5.78;1.02;180.39;160.36;28078;32;4280
Auvergne;320.27;247.63;5.87;1.03;365.99;405.22;16629;54;150
Basse-Normandie;223.89;129.96;6.06;0.97;151.79;88.49;29876;473;2549
Bourgogne;274.48;175.82;6.5;1.08;158.38;101.13;37568;158;210
Bretagne;274.58;144.87;5.76;0.77;163.25;87.25;23211;1086;14
Centre;243.05;146.86;6.35;3.17;150.3;93.66;86071;2394;5298
Champagne-Ardenne;330.89;160.09;7.43;0.77;182.00;153.56;55342;2248;15288
Corse;248.54;126.52;6.07;0.78;342.66;267.76;985;160;474
Franche-Comté;242.3;127.53;6.18;0.87;221.77;216.93;27410;296;1000
Haute-Normandie;202.69;86.67;6.55;0.83;115.69;61.82;72505;19741;9287
Ile-de-France;264.74;150.72;6.85;0.74;169.19;108.58;113865;30529;24298
Languedoc-Roussillon;244.08;194.47;6.99;1.16;247.31;194.78;5807;342;190
Limousin;207.61;148.46;5.2;0.78;191.28;200.66;8570;138;987
Lorraine;363.47;168.64;6.91;0.89;324.54;411.65;59352;131;139
Midi-Pyrenees;217.91;130.62;6.1;1.12;226.71;193.72;31564;5;890
Nord-Pas-de-Calais;255.29;103.94;7.09;0.66;167.22;94.73;51554;19618;16133
Pays de la Loire;221.57;152.46;5.89;0.88;174.59;155.08;34920;690;142
Picardie;261.54;120.3;7.28;0.6;161.11;131.33;99217;17090;32442
Poitou-Charentes;380.56;248.8;6.87;1.06;228.3;171.84;49024;68;546
Provence-Alpes-Côte d'Azur;278.93;186.88;7.51;0.72;267.37;207.85;7117;521;1902
Rhône-Alpes;213.45;118.17;6.13;1.04;176.81;158.93;17612;576;234